Geneid,DZQV_mDC_rep4,925L_mDC_rep2,9JD4_mDC_rep1,G4YW_mDC_rep3,DZQV_NK_rep4,925L_NK_rep2,9JD4_NK_rep1,G4YW_NK_rep3
MIR1302-2HG,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,1,2,0
AL627309.1,2,1,0,0,4,9,2,5
AL627309.3,0,0,0,0,0,0,0,0
AL627309.2,0,2,0,2,1,0,0,1
AL627309.5,1,3,7,1,3,6,11,8
AL627309.4,0,0,0,0,0,0,0,0
AP006222.2,2,0,2,0,1,1,0,0
AL732372.1,0,0,0,0,0,0,0,0
OR4F29,2,3,2,2,0,1,0,1
AC114498.1,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0
AL669831.2,0,0,0,0,0,0,0,0
LINC01409,41,56,38,22,39,107,55,72
FAM87B,39,37,12,11,9,27,5,23
LINC01128,216,145,98,71,141,345,188,263
LINC00115,33,17,28,20,24,25,19,30
FAM41C,0,0,0,0,0,0,0,0
AL645608.6,4,0,0,0,0,0,0,0
AL645608.2,1,0,2,0,0,0,0,0
AL645608.4,0,0,0,0,0,0,0,0
LINC02593,11,0,0,0,0,0,0,0
SAMD11,1,0,2,3,0,13,3,2
NOC2L,1559,808,1266,1173,1005,1096,901,1116
KLHL17,8,92,45,26,33,61,25,76
PLEKHN1,2,0,24,40,15,20,26,27
PERM1,0,0,0,0,0,1,0,0
AL645608.7,3,12,0,0,3,0,0,0
HES4,2,0,0,0,0,0,0,0
ISG15,395,82,176,133,185,66,79,137
AL645608.1,0,0,0,1,1,2,0,1
AGRN,61,27,39,43,12,13,7,1
AL645608.5,0,0,0,0,0,0,0,0
AL645608.8,0,0,0,0,0,0,0,0
RNF223,5,0,0,0,0,0,0,0
C1orf159,207,149,153,205,304,435,222,310
AL390719.3,1,1,0,2,3,2,2,3
LINC01342,0,0,0,0,0,0,0,0
AL390719.2,0,0,0,0,0,0,0,1
TTLL10-AS1,0,0,0,0,0,8,0,0
TTLL10,0,0,0,0,7,12,5,0
