"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MIR1302-2HG",0,NA,NA,NA,NA
"FAM138A",0,NA,NA,NA,NA
"OR4F5",0.373321639721199,0.223364621235414,1.03894216361888,0.557535435184815,NA
"AL627309.1",2.72827556203038,1.004350268134,1.30326627708287,0.0942667937312087,0.178941962652708
"AL627309.3",0,NA,NA,NA,NA
"AL627309.2",0.765526376809623,-0.105101631270752,0.976471320065692,0.720730284889995,NA
"AL627309.5",4.79572439737236,0.625290473593949,0.859551006732673,0.261805199403373,0.391207004968353
"AL627309.4",0,NA,NA,NA,NA
"AP006222.2",0.726261138508306,-0.0897504194402346,0.974834081415105,0.758808663480017,NA
"AL732372.1",0,NA,NA,NA,NA
"OR4F29",1.32129128368572,-0.521219750458221,1.05988214888539,0.259712252224022,NA
"AC114498.1",0,NA,NA,NA,NA
"OR4F16",0,NA,NA,NA,NA
"AL669831.2",0,NA,NA,NA,NA
"LINC01409",51.3472908869217,0.66290695261707,0.409641728307037,0.0770444062030792,0.151616799372905
"FAM87B",19.4690382467888,-0.485687150778418,0.624326643174922,0.330118575664518,0.468162719364642
"LINC01128",175.626188920547,0.698641759224022,0.366719289956437,0.0405317849995098,0.0897581759139588
"LINC00115",23.8811242435705,-0.00864210082307657,0.438653050858681,0.980698134534065,0.987803498574322
"FAM41C",0,NA,NA,NA,NA
"AL645608.6",0.490079987530926,-0.2407162474141,1.04778943983207,0.479003168227649,NA
"AL645608.2",0.347773497602818,-0.22428899139306,1.03978082796113,0.573616996511967,NA
"AL645608.4",0,NA,NA,NA,NA
"LINC02593",1.34771996571005,-0.274880595394009,1.06845953541994,0.251939791068199,NA
"SAMD11",2.79215643293782,0.399819002014329,0.958508892473829,0.394291013678622,0.535847483325154
"NOC2L",1094.15562867242,-0.221185199761743,0.233528473466667,0.329040591544555,0.467022144907223
"KLHL17",43.5329340905545,0.0989711663541693,0.554487502542841,0.83477762645117,0.89557028085261
"PLEKHN1",19.0379419867111,0.169310276982256,0.744299222854828,0.745024944210812,0.833092716453081
"PERM1",0.110102080649407,0.146196502999083,1.01527160009931,0.840423703459905,NA
"AL645608.7",2.25997542214206,-0.247758692969294,1.00824914947702,0.434493255181767,0.575115975262811
"HES4",0.245039993765463,-0.203532173722754,1.03133690133773,0.675782754728622,NA
"ISG15",155.285252304828,-0.571220890212511,0.488824900358777,0.180084582660875,0.295853242942866
"AL645608.1",0.607105249749874,0.152383109836497,0.995727540099803,0.600762211732779,NA
"AGRN",25.2020539541738,-2.00259691075795,0.729118280087534,0.000949321064408553,0.00341843011067148
"AL645608.5",0,NA,NA,NA,NA
"AL645608.8",0,NA,NA,NA,NA
"RNF223",0.612599984413657,-0.250257766323027,1.05299004158601,0.421141383467703,NA
"C1orf159",242.537124407312,0.75330614447294,0.280663768121163,0.00513780096198988,0.0153471667124982
"AL390719.3",1.75172637959141,0.376239887329439,0.93105483693843,0.431346173399806,0.572120493453538
"LINC01342",0,NA,NA,NA,NA
"AL390719.2",0.104880026948116,0.144223854870853,1.01486138632239,0.840423703459905,NA
"TTLL10-AS1",0.88081664519526,0.262576014951206,1.05944855734551,0.336501672403422,NA
"TTLL10",3.00033280908581,0.935495958791048,1.72884978402192,0.024769454695286,0.0594999520953703
"TNFRSF18",95.8627396423943,9.19121450650655,1.33948458347894,1.05333202889033e-17,2.0192988271924e-16
"TNFRSF4",21.1773780452913,6.82035290108895,1.43037558557302,3.70816917882079e-09,3.21603138392369e-08
"SDF4",1075.08508182311,0.59051489990584,0.446997173436344,0.142376386600695,0.246915544605603
"B3GALT6",38.0851448561498,-1.44665925118347,0.673329647177455,0.0085780713636606,0.0240324292212542
"C1QTNF12",0.24246979022897,-0.203067393292922,1.03116023220865,0.678021792050414,NA
"AL162741.1",0.581211462651615,-0.149352504205442,1.0042218381851,0.625319265207398,NA
"UBE2J2",528.195380180627,-0.248749055841614,0.220381823419003,0.246380450830721,0.372758428149211
