"","DZQV_mDC_rep4","925L_mDC_rep2","9JD4_mDC_rep1","G4YW_mDC_rep3","DZQV_NK_rep4","925L_NK_rep2","9JD4_NK_rep1","G4YW_NK_rep3"
"MIR1302-2HG",0,0,0,0,0,0,0,0
"FAM138A",0,0,0,0,0,0,0,0
"OR4F5",-1.42935640139688,-1.42990213601,-1.43371402381789,-1.42389490253253,-1.42032952437787,-1.33137478886817,-1.21862711669497,-1.4374022902583
"AL627309.1",1.19605050352908,1.06748254587024,0.923612842928623,0.928602573377817,1.47266060745566,1.70155708893232,1.21374788740837,1.43423290475394
"AL627309.3",0,0,0,0,0,0,0,0
"AL627309.2",-0.600086409688765,-0.352486513839163,-0.600726650265022,-0.328350699196857,-0.44257305127922,-0.600891423028933,-0.59950569530347,-0.483146192212025
"AL627309.5",1.65623235207134,1.93612223173513,2.28569145248425,1.67861723473937,2.0082255190803,2.19374372801089,2.64979264390498,2.32042278044984
"AL627309.4",0,0,0,0,0,0,0,0
"AP006222.2",-0.407917286338538,-0.656224963977304,-0.424430764798243,-0.655319690833396,-0.499552098445953,-0.534448581096602,-0.655593574735306,-0.657238442586837
"AL732372.1",0,0,0,0,0,0,0,0
"OR4F29",0.408657349539653,0.508303409782494,0.390908022863614,0.432163349189564,0.153771688935098,0.275860218924201,0.152189234746549,0.270079563453673
"AC114498.1",0,0,0,0,0,0,0,0
"OR4F16",0,0,0,0,0,0,0,0
"AL669831.2",0,0,0,0,0,0,0,0
"LINC01409",5.38108494103993,5.72763147182662,5.19914511050089,4.80679574104213,5.52355051580393,6.3766173356874,5.80196987025671,5.85188073979507
"FAM87B",4.86424738125006,4.80028879976784,3.68092540344996,3.77024345910772,3.66122720486401,4.3946627027463,3.14121078406071,4.19634401610772
"LINC01128",7.68739506962862,7.15542242323654,6.5552095787804,6.38731513543128,7.35910353583414,8.16022543700016,7.5996075246356,7.74163297498687
"LINC00115",4.86973863909098,4.22264274844269,4.62419531980265,4.48155430500218,4.72645441932974,4.49155649795965,4.40045316089528,4.62205280223396
"FAM41C",0,0,0,0,0,0,0,0
