,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,log10_pvalue
SYCP2L,0.9992,0.0008000000000000229,7.13008602021168,2.3189688e-07,1.7465565e-05,0.0,0.25,-6.548064,-6.5962186,1.8428857,-13.617262,3.7601738,0.0,0.041025642,0.0,0.035897435897435895,0.0,0.13152955,True,NK cell vs cDC,NK cell,cDC,3.096910013008044
HLA-DRB1,0.999,0.0010000000000000009,6.906744788708563,0.0014151612,0.028389838,0.0,0.25,-4.701319,-4.779232,1.4516723,-9.297428,5.759365,0.9081712,76.54359,0.421011673151751,0.9846153846153847,11.660372,268.20972,True,NK cell vs cDC,NK cell,cDC,2.9999999999999996
CD8A,0.9988,0.0011999999999999789,6.724224678325084,0.0012125358,1.1650888e-05,0.0,0.25,7.2562304,7.434578,2.1786554,-2.6563663,14.488672,0.8412451,0.025641026,0.4140077821011673,0.02564102564102564,12.074999,0.088445716,True,NK cell vs cDC,NK cell,cDC,2.920818753952383
GPER1,0.9986,0.0013999999999999568,6.569874928627714,4.4854852e-07,1.37520465e-05,0.0,0.25,-5.1619735,-5.2255945,1.35406,-10.185837,2.0908222,0.0,0.041025642,0.0,0.041025641025641026,0.0,0.21098338,True,NK cell vs cDC,NK cell,cDC,2.853871964321775
WNT1,0.9984,0.0016000000000000458,6.4361441284049565,1.004424e-05,1.27008e-07,0.0,0.25,6.857801,7.0267296,1.6892753,-2.016842,11.455817,0.007782101,0.0,0.007782101167315175,0.0,0.100077175,0.0,True,NK cell vs cDC,NK cell,cDC,2.795880017344063
LRRK1,0.9984,0.0016000000000000458,6.4361441284049565,4.4774124e-06,9.9605146e-05,0.0,0.25,-4.7241726,-4.7713985,1.2636175,-9.47316,4.0174484,0.0023346303,0.20512821,0.0023346303501945525,0.1794871794871795,0.024217712,0.7517876,True,NK cell vs cDC,NK cell,cDC,2.795880017344063
CD1E,0.9984,0.0016000000000000458,6.4361441284049565,2.5653037e-07,0.000125075,0.0,0.25,-9.030878,-9.342882,2.2819073,-16.191158,3.7859154,0.0,0.32307693,0.0,0.18974358974358974,0.0,1.0967216,True,NK cell vs cDC,NK cell,cDC,2.795880017344063
HLA-DRA,0.9984,0.0016000000000000458,6.4361441284049565,0.0014429364,0.043583263,0.0,0.25,-5.327748,-5.433894,1.3724005,-8.936136,4.833392,0.9151751,123.68205,0.4,0.9948717948717949,11.125638,435.87396,True,NK cell vs cDC,NK cell,cDC,2.795880017344063
FZD1,0.9984,0.0016000000000000458,6.4361441284049565,7.7209165e-07,4.2194948e-05,0.0,0.25,-5.848623,-5.989503,1.4929849,-10.999665,3.822712,0.0,0.12307692,0.0,0.1076923076923077,0.0,0.47418216,True,NK cell vs cDC,NK cell,cDC,2.795880017344063
C1orf127,0.9982,0.0018000000000000238,6.318161446611285,1.7130266e-07,6.209031e-06,0.0,0.25,-5.403835,-5.45172,1.3731422,-10.015408,4.0221043,0.0,0.010256411,0.0,0.010256410256410256,0.0,0.029907346,True,NK cell vs cDC,NK cell,cDC,2.744727494896688
CACNA2D3,0.9982,0.0018000000000000238,6.318161446611285,8.847954e-06,0.00042588907,0.0,0.25,-5.7669706,-5.9019895,1.8537983,-11.018521,5.826125,0.0038910506,1.0564103,0.0038910505836575876,0.5743589743589743,0.06166202,3.609837,True,NK cell vs cDC,NK cell,cDC,2.744727494896688
LAMP5,0.9982,0.0018000000000000238,6.318161446611285,9.565169e-07,4.8367092e-05,0.0,0.25,-6.161932,-6.1925983,2.0339544,-13.357763,5.354845,0.0007782101,0.11794872,0.0007782101167315176,0.09743589743589744,0.0023078592,0.44889447,True,NK cell vs cDC,NK cell,cDC,2.744727494896688
TVP23A,0.9982,0.0018000000000000238,6.318161446611285,1.8411447e-07,1.232878e-05,0.0,0.25,-5.991103,-6.1694765,1.9004414,-12.106257,1.8130741,0.0,0.015384615,0.0,0.015384615384615385,0.0,0.042789586,True,NK cell vs cDC,NK cell,cDC,2.744727494896688
TIFAB,0.998,0.0020000000000000018,6.212601105784058,1.1564897e-06,8.72967e-05,0.0,0.25,-6.4925985,-6.660797,1.9763305,-12.54248,3.1756344,0.0007782101,0.25128207,0.0007782101167315176,0.18974358974358974,0.014766796,0.82129276,True,NK cell vs cDC,NK cell,cDC,2.6989700043360183
PACERR,0.998,0.0020000000000000018,6.212601105784058,1.8651029e-07,1.1513273e-05,0.0,0.25,-6.3348594,-6.503713,1.998494,-13.289733,7.375969,0.0,0.03076923,0.0,0.03076923076923077,0.0,0.101158865,True,NK cell vs cDC,NK cell,cDC,2.6989700043360183
RAB7B,0.998,0.0020000000000000018,6.212601105784058,8.3285386e-08,1.408188e-05,0.0,0.25,-6.97337,-6.9576283,2.333665,-15.475446,4.641714,0.0,0.046153847,0.0,0.035897435897435895,0.0,0.09509003,True,NK cell vs cDC,NK cell,cDC,2.6989700043360183
CLEC1A,0.998,0.0020000000000000018,6.212601105784058,1.4870889e-07,3.580019e-06,0.0,0.25,-4.9478197,-5.013036,1.6326221,-9.993761,6.0104656,0.0,0.010256411,0.0,0.010256410256410256,0.0,0.033056434,True,NK cell vs cDC,NK cell,cDC,2.6989700043360183
SLAMF9,0.998,0.0020000000000000018,6.212601105784058,9.942904e-08,1.6630007e-05,0.0,0.25,-7.617769,-7.7923265,1.8550606,-12.80995,4.3918953,0.0,0.051282052,0.0,0.046153846153846156,0.0,0.19245903,True,NK cell vs cDC,NK cell,cDC,2.6989700043360183
BCAT1,0.998,0.0020000000000000018,6.212601105784058,1.0301327e-06,2.8378243e-05,0.0,0.25,-5.1591353,-5.2095265,1.7004575,-10.773425,3.0634766,0.0,0.08717949,0.0,0.08717948717948718,0.0,0.3501503,True,NK cell vs cDC,NK cell,cDC,2.6989700043360183
PKIB,0.9978,0.0021999999999999797,6.11709095964051,6.1420394e-07,0.00015701428,0.0,0.25,-7.977889,-8.303336,2.1334171,-14.732759,1.6573601,0.0,0.4051282,0.0,0.2564102564102564,0.0,1.4003356,True,NK cell vs cDC,NK cell,cDC,2.657577319177798
CPED1,0.9978,0.0021999999999999797,6.11709095964051,1.1957495e-06,5.652343e-05,0.0,0.25,-6.066197,-6.1554613,1.6641479,-11.718399,4.402728,0.0015564202,0.16410257,0.0015564202334630351,0.14358974358974358,0.007841553,0.5747042,True,NK cell vs cDC,NK cell,cDC,2.657577319177798
MFSD2A,0.9978,0.0021999999999999797,6.11709095964051,2.156354e-06,6.236214e-05,0.0,0.25,-5.1353254,-5.2013135,1.5226728,-10.562341,2.5593176,0.0,0.16410257,0.0,0.14358974358974358,0.0,0.622779,True,NK cell vs cDC,NK cell,cDC,2.657577319177798
GAS6,0.9976,0.0023999999999999577,6.029879500378016,3.2875746e-06,0.00019708247,0.0,0.25,-5.8949327,-6.064219,1.6605785,-11.488961,2.7247648,0.0015564202,0.4871795,0.0015564202334630351,0.3128205128205128,0.029578172,1.692757,True,NK cell vs cDC,NK cell,cDC,2.6197887582884016
HAAO,0.9976,0.0023999999999999577,6.029879500378016,1.9077604e-06,7.421653e-05,0.0,0.25,-5.5757565,-5.67755,1.4272386,-9.531971,3.7519674,0.0007782101,0.17948718,0.0007782101167315176,0.15897435897435896,0.0045035305,0.68023956,True,NK cell vs cDC,NK cell,cDC,2.6197887582884016
CD3G,0.9976,0.0023999999999999577,6.029879500378016,0.0014775652,2.7976925e-05,0.0,0.25,7.37431,7.5106654,2.69943,-5.1701174,16.01502,1.0770428,0.051282052,0.553307392996109,0.041025641025641026,15.027167,0.325038,True,NK cell vs cDC,NK cell,cDC,2.6197887582884016
ADORA1,0.9976,0.0023999999999999577,6.029879500378016,2.1633925e-07,2.0804058e-05,0.0,0.25,-7.0524774,-7.1667314,1.9658326,-14.228015,5.404106,0.0,0.056410257,0.0,0.05641025641025641,0.0,0.21128286,True,NK cell vs cDC,NK cell,cDC,2.6197887582884016
LINC02724,0.9976,0.0023999999999999577,6.029879500378016,3.772635e-07,1.3610302e-05,0.0,0.25,-5.443712,-5.487338,1.6598939,-11.529931,4.165434,0.0,0.025641026,0.0,0.020512820512820513,0.0,0.075818256,True,NK cell vs cDC,NK cell,cDC,2.6197887582884016
AC005162.3,0.9976,0.0023999999999999577,6.029879500378016,2.1132837e-06,3.2790886e-05,0.0,0.25,-4.132548,-4.253519,1.312486,-7.8962975,4.830448,0.0007782101,0.082051285,0.0007782101167315176,0.07692307692307693,0.012653823,0.28120738,True,NK cell vs cDC,NK cell,cDC,2.6197887582884016
HLA-A,0.9976,0.0023999999999999577,6.029879500378016,0.02067195,0.006787195,0.0,0.25,1.6018503,1.6287925,0.3656464,-0.13577938,2.8657608,16.423346,19.517948,0.9945525291828794,0.9948717948717949,237.73602,73.51061,True,NK cell vs cDC,NK cell,cDC,2.6197887582884016
RNASE3,0.9974,0.0026000000000000467,5.949636611964186,2.058592e-07,8.555712e-06,0.0,0.25,-5.5749545,-5.6926394,1.6955588,-12.356876,2.3608303,0.0,0.020512821,0.0,0.020512820512820513,0.0,0.08506594,True,NK cell vs cDC,NK cell,cDC,2.5850266520291743
AL589863.2,0.9974,0.0026000000000000467,5.949636611964186,2.4652908e-07,7.459323e-06,0.0,0.25,-5.1772103,-5.274905,1.6068558,-11.00823,3.4476414,0.0,0.020512821,0.0,0.015384615384615385,0.0,0.052382454,True,NK cell vs cDC,NK cell,cDC,2.5850266520291743
ST14,0.9974,0.0026000000000000467,5.949636611964186,7.109017e-06,0.00017451418,0.0,0.25,-4.950481,-5.033172,1.4902922,-11.135705,5.140806,0.0023346303,0.46666667,0.0023346303501945525,0.37948717948717947,0.03784265,1.623262,True,NK cell vs cDC,NK cell,cDC,2.5850266520291743
HLA-C,0.9972,0.0028000000000000247,5.875328373074121,0.014959579,0.0054109357,0.0,0.25,1.4672774,1.5069866,0.33711493,-0.2167244,2.5743346,11.729183,16.441025,0.9953307392996109,0.9897435897435898,169.66795,61.044422,True,NK cell vs cDC,NK cell,cDC,2.552841968657777
GPR84,0.9972,0.0028000000000000247,5.875328373074121,1.9203303e-07,1.8460209e-05,0.0,0.25,-6.7493978,-6.949359,2.1370978,-14.215724,5.1806717,0.0,0.056410257,0.0,0.05128205128205128,0.0,0.20819934,True,NK cell vs cDC,NK cell,cDC,2.552841968657777
MYCL,0.9972,0.0028000000000000247,5.875328373074121,4.6177615e-06,0.00017581784,0.0,0.25,-5.556275,-5.610645,1.4574534,-11.5509405,4.193616,0.0046692607,0.43589744,0.004669260700389105,0.3128205128205128,0.045938876,1.3266145,True,NK cell vs cDC,NK cell,cDC,2.552841968657777
CCSER1,0.9972,0.0028000000000000247,5.875328373074121,3.3834453e-06,0.00010884398,0.0,0.25,-5.418704,-5.5148754,1.9010625,-11.444807,3.4745026,0.0015564202,0.31282052,0.0015564202334630351,0.2564102564102564,0.015620817,1.0571434,True,NK cell vs cDC,NK cell,cDC,2.552841968657777
